PERMIT NUMBER,PERMIT TYPE,PERMIT STATUS,PERMIT SUB-TYPE,WORK DESCRIPTION,PERMIT ISSUE DATE,ESTIMATED VALUE OF WORK,STATE VALUATION,CONTRACTOR,LOCATION,COUNT
B 15-023552-EXP,Building Permit,Active/Issued,Single Family Dwelling,Express Repair,"FRIDAY, APRIL 03, 2015",,$3000.00,WELLINGTON HOME IMPROVEMENTS,"1289 CLEVELAND AVE N
Saint Paul, MN
(44.980121, -93.187259)",1
B 15-023577-RPR,Building Permit,Active/Issued,Single Family Dwelling,Repair,"FRIDAY, APRIL 03, 2015",$22800.00,$22800.00,LENG VANG,"437 ARLINGTON AVE E
Saint Paul, MN
(44.984585, -93.082152)",1
B 15-023627-EXP,Building Permit,Active/Issued,Single Family Dwelling,Express Repair,"FRIDAY, APRIL 03, 2015",,$4000.00,BEST SIDING COMPANY INC,"2087 PINEHURST AVE
Saint Paul, MN
(44.918884, -93.188618)",1
B 15-023684-NEW,Building Permit,Active/Issued,Accessory Structure,New,"FRIDAY, APRIL 03, 2015",$18000.00,$18000.00,Heather Ann Joyce,"776 CALIFORNIA AVE W
Saint Paul, MN
(44.990906, -93.132506)",1
B 15-020871-RPR,Building Permit,Inspected,Single Family Dwelling,Repair,"FRIDAY, APRIL 03, 2015",$75000.00,$75000.00,STEVE DAHL CONSTRUCTION,"710 KENNETH ST
Saint Paul, MN
(44.920156, -93.184673)",1
B 15-023397-REM,Building Permit,Inspected,Single Family Dwelling,Remodel,"FRIDAY, APRIL 03, 2015",$5652.00,$5652.00,SEARS HOME IMPROVEMENT PRODUCTS INC,"542 IDAHO AVE E
Saint Paul, MN
(44.990082, -93.077926)",1
B 15-023454-EXP,Building Permit,Inspected,Single Family Dwelling,Express Repair,"FRIDAY, APRIL 03, 2015",,$5500.00,Mr William Washington RELIABLE PROPERTY MAINT & HOME SRV LLC,"1501 SHERBURNE AVE
Saint Paul, MN
(44.956593, -93.164042)",1
B 15-023515-REM,Building Permit,Inspected,Single Family Dwelling,Remodel,"FRIDAY, APRIL 03, 2015",$2500.00,$2500.00,ABELS CONCRETE AND CONSTRUCTION,"668 MOUNT CURVE BLVD
Saint Paul, MN
(44.921275, -93.194933)",1
B 15-023533-EXP,Building Permit,Inspected,Single Family Dwelling,Express Repair,"FRIDAY, APRIL 03, 2015",,$5500.00,TABOR AND SONS INCORPORATED,"800 HAMLINE AVE N
Saint Paul, MN
(44.965252, -93.156851)",1
B 15-023534-NEW,Building Permit,Inspected,Accessory Structure,New,"FRIDAY, APRIL 03, 2015",$14784.00,$14784.00,FIRST LANDMARK BUILDERS INC,"1335 GOODRICH AVE
Saint Paul, MN
(44.937883, -93.156491)",1
B 15-023611-RPR,Building Permit,Inspected,Accessory Structure,Repair,"FRIDAY, APRIL 03, 2015",$32700.00,$32700.00,PETERSON RESTORATION AND CONSTRUCTION,"1362 EDGERTON ST
Saint Paul, MN
(44.98213, -93.076111)",1
B 15-023717-REM,Building Permit,Inspected,Single Family Dwelling,Remodel,"FRIDAY, APRIL 03, 2015",$62000.00,$62000.00,B KUFUS CONSTRUCTION,"1473 HAMLINE AVE N
Saint Paul, MN
(44.985561, -93.15666)",1
E 15-023538-S&C,Electrical Permit,Active/Issued,Service & Circuits ,Residential Repair/Alter,"FRIDAY, APRIL 03, 2015",$1000.00,,Stephen Mowry MOWRY ELECTRIC INC,"226 GROTTO ST N
Saint Paul, MN
(44.948089, -93.13137)",1
E 15-023597-ELC,Electrical Permit,Active/Issued,Electrical,Commercial Repair/Alter,"FRIDAY, APRIL 03, 2015",$1000.00,,AARON GUNDERSON / BOB GRILL Hunt Electric Corporation,"851 PIERCE BUTLER ROUTE
Saint Paul, MN
(44.964731, -93.135985)",1
E 15-023676-S&C,Electrical Permit,Active/Issued,Service & Circuits ,Commercial Repair/Alter,"FRIDAY, APRIL 03, 2015",$2700.00,,DICKSON ELECTRIC INC,"141 4TH ST E - ENDICOTT FOURTH BUILDING
Saint Paul, MN
(44.947003, -93.089258)",1
E 15-023725-TBL,Electrical Permit,Active/Issued,Unit Table Only,Commercial Repair/Alter,"FRIDAY, APRIL 03, 2015",$1402.00,,SILENT KNIGHT SECURITY SYSTEMS OF MN INC,"413 WACOUTA ST - 413 ON WACOUTA
Saint Paul, MN
(44.950503, -93.088162)",1
E 15-023734-TBL,Electrical Permit,Active/Issued,Unit Table Only,Commercial Repair/Alter,"FRIDAY, APRIL 03, 2015",$712.00,,SILENT KNIGHT SECURITY SYSTEMS OF MN INC,"555 CEDAR ST - MINNESOTA DEPARTMENT OF HUMAN SERVICES
Saint Paul, MN
(44.950696, -93.097782)",1
E 15-023527-S&C,Electrical Permit,Inspected,Service & Circuits ,Residential Repair/Alter,"FRIDAY, APRIL 03, 2015",$3000.00,,POWERHOUSE ELECTRIC SERVICES LLC,"1201 MAGNOLIA AVE E
Saint Paul, MN
(44.973924, -93.049705)",1
FN 15-023667-FEN,Fence Permit,Active/Issued,Fence Permit,Residential,"FRIDAY, APRIL 03, 2015",$1000.00,,BRAD WOODBERRY,"1105 IOWA AVE W
Saint Paul, MN
(44.989257, -93.146756)",1
FN 15-023729-FEN,Fence Permit,Active/Issued,Fence Permit,Residential,"FRIDAY, APRIL 03, 2015",$1500.00,,Noi X Oan,"657 OAKDALE AVE
Saint Paul, MN
(44.926621, -93.0783)",1
M 15-015058-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"FRIDAY, APRIL 03, 2015",$300.00,,BRIAN NERISON KB SERVICE CO INC,"1193 CHARLES AVE
Saint Paul, MN
(44.957544, -93.150599)",1
M 15-017560-GAS,Mechanical Permit,Active/Issued,Gas,Commercial Replace,"FRIDAY, APRIL 03, 2015",$2610.00,,JOHN DEBLON YALE MECHANICAL INC,"1351 TROUT BROOK CIRCLE
Saint Paul, MN
(44.983344, -93.098055)",1
M 15-018202-REF,Mechanical Permit,Active/Issued,Refrigeration,Residential New,"FRIDAY, APRIL 03, 2015",$11000.00,,DAVID ROUSE S R MECHANICAL,"1309 UNIVERSITY AVE W - Hamline Station TOD
Saint Paul, MN
",1
M 15-018203-GAS,Mechanical Permit,Active/Issued,Gas,Residential New,"FRIDAY, APRIL 03, 2015",$150000.00,,DAVID ROUSE S R MECHANICAL,"1309 UNIVERSITY AVE W - Hamline Station TOD
Saint Paul, MN
",1
M 15-018210-REF,Mechanical Permit,Active/Issued,Refrigeration,Commercial New,"FRIDAY, APRIL 03, 2015",$38000.00,,DAVID ROUSE S R MECHANICAL,"1309 UNIVERSITY AVE W - Hamline Station TOD
Saint Paul, MN
",1
M 15-018212-GAS,Mechanical Permit,Active/Issued,Gas,Commercial New,"FRIDAY, APRIL 03, 2015",$10000.00,,DAVID ROUSE S R MECHANICAL,"1309 UNIVERSITY AVE W - Hamline Station TOD
Saint Paul, MN
",1
M 15-018231-REF,Mechanical Permit,Active/Issued,Refrigeration,Residential New,"FRIDAY, APRIL 03, 2015",$10000.00,,DAVID ROUSE S R MECHANICAL,"1305 UNIVERSITY AVE W - Hamline station TOD
Saint Paul, MN
",1
M 15-018242-REF,Mechanical Permit,Active/Issued,Refrigeration,Commercial New,"FRIDAY, APRIL 03, 2015",$22000.00,,DAVID ROUSE S R MECHANICAL,"1305 UNIVERSITY AVE W - Hamline station TOD
Saint Paul, MN
",1
M 15-018244-GAS,Mechanical Permit,Active/Issued,Gas,Commercial New,"FRIDAY, APRIL 03, 2015",$20000.00,,DAVID ROUSE S R MECHANICAL,"1305 UNIVERSITY AVE W - Hamline station TOD
Saint Paul, MN
",1
M 15-018248-STM,Mechanical Permit,Active/Issued,Steam or Hot Water,Commercial New,"FRIDAY, APRIL 03, 2015",$16000.00,,DAVID ROUSE S R MECHANICAL,"1305 UNIVERSITY AVE W - Hamline station TOD
Saint Paul, MN
",1
M 15-018956-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"FRIDAY, APRIL 03, 2015",$4600.00,,LAURA FOSCHIATTI BLUE OX HEATING & AIR LLC,"1148 CALIFORNIA AVE W
Saint Paul, MN
(44.991044, -93.148336)",1
M 15-020370-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"FRIDAY, APRIL 03, 2015",$300.00,,BRIAN NERISON KB SERVICE CO INC,"917 FREMONT AVE
Saint Paul, MN
(44.957633, -93.061758)",1
M 15-020449-REF,Mechanical Permit,Active/Issued,Refrigeration,Residential Replace,"FRIDAY, APRIL 03, 2015",$2000.00,,JAMES BOEHM BOEHM HEATING CO,"1431 CHELMSFORD ST
Saint Paul, MN
(44.984243, -93.191621)",1
M 15-020511-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"FRIDAY, APRIL 03, 2015",$1000.00,,BUSBY DASENT MESPO HEATING & COOLING,"933 ALBEMARLE ST
Saint Paul, MN
(44.969359, -93.107232)",1
M 15-020666-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"FRIDAY, APRIL 03, 2015",$200.00,,DAVID REILAND METRO HEATING AND COOLING LLC,"1812 LACROSSE AVE
Saint Paul, MN
(44.971197, -93.023858)",1
M 15-020679-REF,Mechanical Permit,Active/Issued,Refrigeration,Residential Replace,"FRIDAY, APRIL 03, 2015",$2000.00,,CHARLES FORREST FORREST HTG INC,"2077 NORTH PARK DRIVE
Saint Paul, MN
(44.94442, -93.012894)",1
M 15-020883-STM,Mechanical Permit,Active/Issued,Steam or Hot Water,Residential Repair/Alter,"FRIDAY, APRIL 03, 2015",$1200.00,,JAMES BOEHM BOEHM HEATING CO,"1431 CHELMSFORD ST
Saint Paul, MN
(44.984243, -93.191621)",1
M 15-020910-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"FRIDAY, APRIL 03, 2015",$200.00,,DAVID REILAND METRO HEATING AND COOLING LLC,"183 GEORGE ST W
Saint Paul, MN
(44.929595, -93.093372)",1
M 15-020914-STM,Mechanical Permit,Active/Issued,Steam or Hot Water,Residential Replace,"FRIDAY, APRIL 03, 2015",$3500.00,,DAVID REILAND METRO HEATING AND COOLING LLC,"183 GEORGE ST W
Saint Paul, MN
(44.929595, -93.093372)",1
M 15-021908-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"FRIDAY, APRIL 03, 2015",$3294.00,,DEAN ADELMAN DEAN'S PROFESSIONAL PLUMBING,"1273 REANEY AVE
Saint Paul, MN
(44.96402, -93.046653)",1
M 15-022037-REF,Mechanical Permit,Active/Issued,Refrigeration,Residential Replace,"FRIDAY, APRIL 03, 2015",$3000.00,,DEAN ADELMAN DEAN'S PROFESSIONAL PLUMBING,"Saint Paul, MN
(44.943719, -93.094281)",1
M 15-022079-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"FRIDAY, APRIL 03, 2015",$3000.00,,DAVID DAHER FREEDOM HEATING & AIR CONDITIONING INC,"2301 BEVERLY ROAD
Saint Paul, MN
(44.9556, -93.195058)",1
M 15-022086-REF,Mechanical Permit,Active/Issued,Refrigeration,Residential New,"FRIDAY, APRIL 03, 2015",$3000.00,,DAVID DAHER FREEDOM HEATING & AIR CONDITIONING INC,"2301 BEVERLY ROAD
Saint Paul, MN
(44.9556, -93.195058)",1
M 15-022385-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"FRIDAY, APRIL 03, 2015",$350.00,,DIANE MOYER HOME ENERGY CENTER,"547 ST CLAIR AVE
Saint Paul, MN
(44.93411, -93.122678)",1
M 15-022386-REF,Mechanical Permit,Active/Issued,Refrigeration,Residential Replace,"FRIDAY, APRIL 03, 2015",$7000.00,,DIANE MOYER HOME ENERGY CENTER,"547 ST CLAIR AVE
Saint Paul, MN
(44.93411, -93.122678)",1
M 15-022390-REF,Mechanical Permit,Active/Issued,Refrigeration,Residential Replace,"FRIDAY, APRIL 03, 2015",$3078.00,,TED FERRARA STANDARD HEATING & AIR CONDITIONING INC,"1738 COTTAGE AVE E
Saint Paul, MN
(44.982928, -93.026997)",1
M 15-022473-REF,Mechanical Permit,Active/Issued,Refrigeration,Residential New,"FRIDAY, APRIL 03, 2015",$2500.00,,ROBERT UNDERDAHL ASSURED COMFORT HEATING & AIR COND LLC,"2153 JEFFERSON AVE - New home
Saint Paul, MN
(44.930712, -93.1912)",1
M 15-022475-GAS,Mechanical Permit,Active/Issued,Gas,Residential New,"FRIDAY, APRIL 03, 2015",$1000.00,,ROBERT UNDERDAHL ASSURED COMFORT HEATING & AIR COND LLC,"2153 JEFFERSON AVE - New home
Saint Paul, MN
(44.930712, -93.1912)",1
M 15-022478-FIR,Mechanical Permit,Active/Issued,Factory Built Fireplace,Residential New,"FRIDAY, APRIL 03, 2015",$500.00,,ROBERT UNDERDAHL ASSURED COMFORT HEATING & AIR COND LLC,"2153 JEFFERSON AVE - New home
Saint Paul, MN
(44.930712, -93.1912)",1
