Building Type,Building Name,Street,Zip,Phone,URL,Off Street Parking,Paking Spaces,Accessible Parking Spaces,Location
Library,George Latimer Central Library,90 W 4th St,55102,651-266-7000,http://www.sppl.org/about/locations/central-library,,,,"90 W 4th St
Saint Paul, MN 55102
(44.944123, -93.097281)"
Library,Sun Ray,2105 Wilson Avenue,55119,651-501-6300,http://www.sppl.org/about/locations/sun-ray,,,,"2105 Wilson Avenue
Saint Paul, MN 55119
(44.954072, -93.012287)"
Library,Highland Park,1974 Ford Pkwy,55116,651-695-3700,http://www.sppl.org/about/locations/highland-park,,,,"1974 Ford Pkwy
Saint Paul, MN 55116
(44.917869, -93.18235)"
Library,Hamline Midway,1558 W Minnehaha Avenue,55104,651-642-0293,http://www.sppl.org/about/locations/hamline-midway,,,,"1558 W Minnehaha Avenue
Saint Paul, MN 55104
(44.962886, -93.166154)"
Library,Arlington Hills,1105 Greenbrier Street,55106,651-793-3930,http://www.sppl.org/about/locations/arlington-hills,,,,"1105 Greenbrier Street
Saint Paul, MN 55106
(44.974493, -93.07101)"
Library,Saint Anthony Park,2245 Como Avenue,55108,651-642-0411,http://www.sppl.org/about/locations/saint-anthony-park,,,,"2245 Como Avenue
Saint Paul, MN 55108
(44.980754, -93.193853)"
Library,Rice Street,1011 Rice Street,55117,651-558-2223,http://www.sppl.org/about/locations/rice-street,,,,"1011 Rice Street
Saint Paul, MN 55117
(44.971687, -93.105949)"
Library,Hayden Heights,1456 White Bear Avenue,55106,651-793-3934,http://www.sppl.org/about/locations/hayden-heights,,,,"1456 White Bear Avenue
Saint Paul, MN 55106
(44.985233, -93.025225)"
Library,West 7th,265 Oneida Street,55102,651-298-5516,http://www.sppl.org/about/locations/west-7th,,,,"265 Oneida Street
Saint Paul, MN 55102
(44.933338, -93.123173)"
Library,Rondo,461 N Dale Street,55103,651-266-7400,http://www.sppl.org/about/locations/rondo,,,,"461 N Dale Street
Saint Paul, MN 55103
(44.954593, -93.126355)"
Library,Riverview,1 E George Street,55107,651-292-6626,http://www.sppl.org/about/locations/riverview,,,,"1 E George Street
Saint Paul, MN 55107
(44.929702, -93.084738)"
Library,Merriam Park,1831 Marshall Avenue,55104,651-642-0385,http://www.sppl.org/about/locations/merriam-park,,,,"1831 Marshall Avenue
Saint Paul, MN 55104
(44.948458, -93.177612)"
Library,Dayton's Bluff,645 E 7th Street,55106,651-793-1699,http://www.sppl.org/about/locations/daytons-bluff,,,,"645 E 7th Street
Saint Paul, MN 55106
(44.957504, -93.074983)"
Fire Station,Station 1,1000 West 7th Street,55102,651-224-2779,https://www.stpaul.gov/departments/fire-paramedics/fire-stations/station-1,,,,"1000 West 7th Street
Saint Paul, MN 55102
(44.927477, -93.127065)"
Fire Station,Station 4,505 Payne Avenue,55101,651-776-1252,https://www.stpaul.gov/departments/fire-paramedics/fire-stations/station-4,,,,"505 Payne Avenue
Saint Paul, MN 55101
(44.956751, -93.078338)"
Fire Station,Station 5,860 Ashland Avenue,55104,651-224-3401,https://www.stpaul.gov/departments/fire-paramedics/fire-stations/station-5,,,,"860 Ashland Avenue
Saint Paul, MN 55104
(44.943902, -93.136682)"
Fire Station,Station 6,33 Cesar Chavez Street,55107,651-227-4251,https://www.stpaul.gov/departments/fire-paramedics/fire-stations/station-6,,,,"33 Cesar Chavez Street
Saint Paul, MN 55107
(44.932934, -93.08275)"
Fire Station,Station 7,1038 Ross Avenue,55106,651-776-7038,https://www.stpaul.gov/departments/fire-paramedics/fire-stations/station-7,,,,"1038 Ross Avenue
Saint Paul, MN 55106
(44.965792, -93.056718)"
Fire Station,Station 8,65 E. Tenth Street,55101,651-298-5320,https://www.stpaul.gov/departments/fire-safety/fire-stations/station-8,,,,"65 E. Tenth Street
Saint Paul, MN 55101
(44.950362, -93.09663)"
Fire Station,Station 9,1624 E. Maryland Avenue,55106,651-774-7630,https://www.stpaul.gov/departments/fire-paramedics/fire-stations/station-9,,,,"1624 E. Maryland Avenue
Saint Paul, MN 55106
(44.977522, -93.031929)"
