SERVICE NUMBER,REQUEST DATE,LOCATION,WARD,DISTRICT COUNCIL,STATUS,REQUEST TYPE,REQUEST DESCRIPTION,SEE_CLICK_FIX WEBSITE SUBMISSION,MAP LOCATION
4041268,"FRIDAY, JANUARY 02, 2015",249 BAKER ST W,2,3,Resolved,Complaint,Vehicle/Abandoned,No,"249 BAKER ST W
St Paul, MN
(44.92663, -93.096228)"
4041269,"FRIDAY, JANUARY 02, 2015",963 EARL ST ,6,5,Resolved,Complaint,Garbage Rubbish,No,"963 EARL ST
St Paul, MN
(44.970464, -93.055811)"
4041271,"FRIDAY, JANUARY 02, 2015",644 SELBY AVE ,1,8,Transfer to VB,Complaint,Snow Walk,No,"644 SELBY AVE
St Paul, MN
(44.946584, -93.127383)"
4041273,"FRIDAY, JANUARY 02, 2015",889 AGATE ST ,5,6,Transfer to VB,Complaint,Snow Walk,No,"889 AGATE ST
St Paul, MN
(44.967849, -93.094197)"
4041275,"FRIDAY, JANUARY 02, 2015",364 BURGESS ST ,1,6,Transfer to VB,Complaint,Snow Walk,No,"364 BURGESS ST
St Paul, MN
(44.968382, -93.115348)"
4041283,"FRIDAY, JANUARY 02, 2015",1381 WHITE BEAR AVE N,6,2,Resolved,Complaint,Snow Walk,No,"1381 WHITE BEAR AVE N
St Paul, MN
(44.983084, -93.025243)"
4041284,"FRIDAY, JANUARY 02, 2015",1753 OLD HUDSON ROAD ,7,1,Resolved,Complaint,Snow Walk,No,"1753 OLD HUDSON ROAD
St Paul, MN
(44.952546, -93.026472)"
4041285,"FRIDAY, JANUARY 02, 2015",1739 OLD HUDSON ROAD ,7,1,Resolved,Complaint,Snow Walk,No,"1739 OLD HUDSON ROAD
St Paul, MN
(44.952554, -93.02674)"
4041286,"FRIDAY, JANUARY 02, 2015",1138 JESSIE ST ,5,5,Resolved,Complaint,Snow Walk,No,"1138 JESSIE ST
St Paul, MN
(44.975464, -93.077312)"
4041288,"FRIDAY, JANUARY 02, 2015",1051 ARKWRIGHT ST ,5,5,Resolved,Complaint,Snow Walk,No,"1051 ARKWRIGHT ST
St Paul, MN
(44.972644, -93.083653)"
4041289,"FRIDAY, JANUARY 02, 2015",1023 ARKWRIGHT ST ,5,5,Resolved,Complaint,Snow Walk,No,"1023 ARKWRIGHT ST
St Paul, MN
(44.972084, -93.083648)"
4041290,"FRIDAY, JANUARY 02, 2015",515 JESSAMINE AVE E,5,5,Resolved,Complaint,Snow Walk,No,"515 JESSAMINE AVE E
St Paul, MN
(44.974694, -93.078913)"
4041294,"FRIDAY, JANUARY 02, 2015",2058 CLEAR AVE ,6,2,Resolved,Complaint,Vehicle/Abandoned,No,"2058 CLEAR AVE
St Paul, MN
(44.982019, -93.01346)"
4041295,"FRIDAY, JANUARY 02, 2015",2058 CLEAR AVE ,6,2,Resolved,FYI - No Response Required,Parking,No,"2058 CLEAR AVE
St Paul, MN
(44.982019, -93.01346)"
4041297,"FRIDAY, JANUARY 02, 2015",605 WINTHROP LANE ,7,1,Resolved,Complaint,Sewer,No,"605 WINTHROP LANE
St Paul, MN
(44.922931, -93.008505)"
4041298,"FRIDAY, JANUARY 02, 2015",1377 HOYT AVE E,6,2,Transfer to VB,Complaint,Snow Walk,No,"1377 HOYT AVE E
St Paul, MN
(44.988393, -93.042369)"
4041299,"FRIDAY, JANUARY 02, 2015",1123 EDGERTON ST ,5,5,Resolved,Complaint,Snow Walk,No,"1123 EDGERTON ST
St Paul, MN
(44.975115, -93.076071)"
4041300,"FRIDAY, JANUARY 02, 2015",651 IVY AVE E,6,5,In Compliance,Complaint,Snow Walk,No,"651 IVY AVE E
St Paul, MN
(44.981065, -93.073116)"
4041301,"FRIDAY, JANUARY 02, 2015",941 GOODRICH AVE ,2,16,Resolved,Complaint,Snow Walk,No,"941 GOODRICH AVE
St Paul, MN
(44.937836, -93.13985)"
4041302,"FRIDAY, JANUARY 02, 2015",957 GOODRICH AVE ,2,16,In Compliance,Complaint,Snow Walk,No,"957 GOODRICH AVE
St Paul, MN
(44.937841, -93.140483)"
4041304,"FRIDAY, JANUARY 02, 2015",738 WESTERN AVE N,1,7,Resolved,Complaint,Garbage Rubbish,No,"738 WESTERN AVE N
St Paul, MN
(44.963463, -93.116131)"
4041305,"FRIDAY, JANUARY 02, 2015",432 COOK AVE E,5,5,Open,Complaint,Crime,No,"432 COOK AVE E
St Paul, MN
(44.972845, -93.082343)"
4041306,"FRIDAY, JANUARY 02, 2015",2005 UNIVERSITY AVE W,4,11,Resolved,Complaint,Dumping,No,"2005 UNIVERSITY AVE W
St Paul, MN
(44.958742, -93.184425)"
4041310,"FRIDAY, JANUARY 02, 2015",329 WINONA ST W,2,3,Resolved,Complaint,Exterior,No,"329 WINONA ST W
St Paul, MN
(44.921679, -93.099273)"
4041313,"FRIDAY, JANUARY 02, 2015",329 WINONA ST W,2,3,In Compliance,Complaint,Certificate of Occupancy,No,"329 WINONA ST W
St Paul, MN
(44.921679, -93.099273)"
4041315,"FRIDAY, JANUARY 02, 2015",1667 CHARLES AVE ,4,11,In Compliance,Complaint,Snow Walk,No,"1667 CHARLES AVE
St Paul, MN
(44.957475, -93.17064)"
4041317,"FRIDAY, JANUARY 02, 2015",1514 ARUNDEL ST ,5,6,Resolved,Complaint,Traffic Sign/Light New,No,"1514 ARUNDEL ST
St Paul, MN
(44.986852, -93.118533)"
4041319,"FRIDAY, JANUARY 02, 2015",1546 ARUNDEL ST ,5,6,Resolved,Complaint,Traffic Sign/Light New,No,"1546 ARUNDEL ST
St Paul, MN
(44.98784, -93.118523)"
4041321,"FRIDAY, JANUARY 02, 2015",Hudson rd. (east bound) at McKnight,,,Resolved,Complaint,Traffic Design,No,"Hudson rd. (east bound) at McKnight
St Paul, MN
"
4041330,"FRIDAY, JANUARY 02, 2015",1830 UNIVERSITY AVE W,,,Resolved,Complaint,Graffiti,Yes,"1830 UNIVERSITY AVE W
St Paul, MN
(44.955777, -93.177099)"
4041333,"FRIDAY, JANUARY 02, 2015",1370 UNIVERSITY AVE W,1,13,Resolved,Complaint,Certificate of Occupancy,No,"1370 UNIVERSITY AVE W
St Paul, MN
(44.955646, -93.158315)"
4041336,"FRIDAY, JANUARY 02, 2015",1173 EDGERTON ST ,5,5,Resolved,Complaint,Exterior,No,"1173 EDGERTON ST
St Paul, MN
(44.976648, -93.076068)"
4041338,"FRIDAY, JANUARY 02, 2015",1632 SUBURBAN AVE ,7,1,Resolved,Complaint,Animal Barking,No,"1632 SUBURBAN AVE
St Paul, MN
(44.949693, -93.031556)"
4041340,"FRIDAY, JANUARY 02, 2015",482 POINT DOUGLAS ROAD S,7,1,Resolved,Complaint,Permit,No,"482 POINT DOUGLAS ROAD S
St Paul, MN
(44.926809, -93.019712)"
4041343,"FRIDAY, JANUARY 02, 2015",482 POINT DOUGLAS ROAD S,7,1,Resolved,Complaint,TISH,No,"482 POINT DOUGLAS ROAD S
St Paul, MN
(44.926809, -93.019712)"
