ADDRESS,VACANT AS OF,WARD,DWELLING TYPE,DISTRICT,SALE REVIEW CATEGORY,CENSUS TRACT,MAP LOCATION
662 3RD ST E,11/25/2014 12:00:00 AM,7,Single Family Residential,4,2,34400,"662 3RD ST E
St Paul, MN
(44.954611, -93.071132)"
663 3RD ST E,04/26/2011 12:00:00 AM,7,Multi-family Residential,4,2,34400,"663 3RD ST E
St Paul, MN
(44.954626, -93.071102)"
755 3RD ST E,01/14/2010 12:00:00 AM,7,Single Family Residential,4,2,34500,"755 3RD ST E
St Paul, MN
(44.956733, -93.066669)"
862 3RD ST E,04/01/2015 12:00:00 AM,7,Single Family Residential,4,2,34500,"862 3RD ST E
St Paul, MN
(44.956742, -93.064141)"
905 3RD ST E,05/05/2014 12:00:00 AM,7,Single Family Residential,4,2,34500,"905 3RD ST E
St Paul, MN
(44.956738, -93.062337)"
989 3RD ST E,11/01/2011 12:00:00 AM,7,Single Family Residential,4,2,34500,"989 3RD ST E
St Paul, MN
(44.95673, -93.05892)"
994 3RD ST E,12/27/2010 12:00:00 AM,7,Duplex,4,2,34500,"994 3RD ST E
St Paul, MN
(44.956731, -93.058687)"
1012 3RD ST E,08/14/2014 12:00:00 AM,7,Single Family Residential,4,2,34500,"1012 3RD ST E
St Paul, MN
(44.956739, -93.05763)"
1457 3RD ST E,10/01/2014 12:00:00 AM,7,Single Family Residential,1,2,34602,"1457 3RD ST E
St Paul, MN
(44.956779, -93.03884)"
694 4TH ST E,09/26/2007 12:00:00 AM,7,Duplex,4,3,34400,"694 4TH ST E
St Paul, MN
(44.955966, -93.070266)"
700 4TH ST E,08/24/2007 12:00:00 AM,7,Duplex,4,2,34400,"700 4TH ST E
St Paul, MN
(44.956097, -93.069989)"
724 4TH ST E,12/23/2009 12:00:00 AM,7,Duplex,4,1,34400,"724 4TH ST E
St Paul, MN
(44.956723, -93.068638)"
767 4TH ST E,01/09/2009 12:00:00 AM,7,Duplex,4,2,34500,"767 4TH ST E
St Paul, MN
(44.957554, -93.06695)"
771 4TH ST E,09/15/2011 12:00:00 AM,7,Duplex,4,2,34500,"771 4TH ST E
St Paul, MN
(44.957616, -93.066825)"
804 4TH ST E,03/13/2014 12:00:00 AM,7,Duplex,4,2,34500,"804 4TH ST E
St Paul, MN
(44.958058, -93.065934)"
811 4TH ST E,10/30/2006 12:00:00 AM,7,Single Family Residential,4,2,34500,"811 4TH ST E
St Paul, MN
(44.958117, -93.065814)"
837 4TH ST E,05/06/2015 12:00:00 AM,7,Single Family Residential,4,2,34500,"837 4TH ST E
St Paul, MN
(44.958429, -93.065195)"
1022 4TH ST E,07/17/2012 12:00:00 AM,7,Single Family Residential,4,2,34500,"1022 4TH ST E
St Paul, MN
(44.958545, -93.057389)"
1093 4TH ST E,07/20/2007 12:00:00 AM,7,Single Family Residential,4,2,34601,"1093 4TH ST E
St Paul, MN
(44.958559, -93.054214)"
1215 4TH ST E,07/17/2012 12:00:00 AM,7,Single Family Residential,4,2,34601,"1215 4TH ST E
St Paul, MN
(44.958569, -93.049336)"
1309 4TH ST E,01/21/2015 12:00:00 AM,7,Single Family Residential,4,2,34602,"1309 4TH ST E
St Paul, MN
(44.958586, -93.045068)"
1754 4TH ST E,08/27/2014 12:00:00 AM,7,Single Family Residential,1,2,34701,"1754 4TH ST E
St Paul, MN
(44.958586, -93.026439)"
1917 4TH ST E,05/19/2014 12:00:00 AM,7,Single Family Residential,1,2,34702,"1917 4TH ST E
St Paul, MN
(44.958575, -93.019276)"
2049 4TH ST E,02/04/2015 12:00:00 AM,7,Single Family Residential,1,2,34702,"2049 4TH ST E
St Paul, MN
(44.958547, -93.013928)"
